cell_type,tissue,deg_set,overlap,markers_total,deg_total,odds_ratio,p_value,pct_markers_in_deg,p_adjust,significant,neg_log10_p
Cluster_2,leaf,leaf_int_up,21,100,2728,1.8637054425236026,0.011406061269716465,21.0,0.05233369288458142,True,1.281218618541258
Cluster_3,leaf,leaf_int_up,23,100,2728,2.095988669371294,0.0025811329761355464,23.0,0.013884715319901559,True,1.8574630202178866
Cluster_4,leaf,leaf_int_up,33,100,2728,3.470788912579957,8.006330182972184e-08,33.0,1.561234385679576e-06,True,5.806531892090736
Cluster_5,leaf,leaf_int_up,16,100,2728,1.332630987498244,0.18136338445880126,16.0,0.4878049650960861,False,0.311753783557224
Cluster_6,leaf,leaf_int_up,19,100,2728,1.643187545857658,0.04071468001391934,19.0,0.14114422404825372,False,0.8503368894993258
Cluster_7,leaf,leaf_int_up,17,100,2728,1.4335838373782848,0.1165915407440721,17.0,0.3368200065939861,False,0.47260211997727114
Cluster_8,leaf,leaf_int_up,15,100,2728,1.2341232844040675,0.2666334150404988,15.0,0.6399201960971971,False,0.1938741831343023
Cluster_9,leaf,leaf_int_up,4,100,2728,0.29004527655408713,0.9991021563911365,4.0,1.0,False,-0.0
Cluster_0,leaf,leaf_int_down,10,100,2793,0.7547011618157863,0.8406047201954602,10.0,1.0,False,-0.0
Cluster_1,leaf,leaf_int_down,14,100,2793,1.1075508171753266,0.4055314884600395,14.0,0.9325691470778014,False,0.03031895675146891
